detect_id,lat,lon,confidence,matched_mmsi,match_confidence,time_gap_minutes,distance_meters,position_score,heading_score,size_score,speed_score,type_score,temporal_score,is_dark_ship,is_ambiguous
50,36.94789820741107,-76.35018730577374,0.7921755313873291,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
53,37.24703604300564,-76.12032998223408,0.7831830382347107,538009864,0.7442204330583774,0.0,33.339663145505995,0.9591818677777858,0.5,0.5704507578805511,0.8645753437115278,0.2,1.0,False,False
54,36.94148767134393,-76.17948567168521,0.7816488742828369,UNKNOWN,0.0,0.38333333333333336,2495.5104727877747,0.0482088822384446,0.5,0.8396237665798917,0.7337603050488972,1.0,0.9873035114245453,True,False
55,36.98165644118848,-76.10588188696315,0.778343141078949,UNKNOWN,0.0,0.0,9076.767078065415,1.181714815923251e-05,0.5,0.9467468116222254,0.8620226028075604,0.2,1.0,True,False
57,37.17733270319394,-76.13628224029618,0.7717088460922241,538009420,0.7451936178912323,0.55,26.430766680220533,0.9679350015110769,0.5,0.562414751881404,0.8644498191522286,0.2,0.9818336999059541,False,False
58,36.951660583993885,-76.11850095437543,0.7715945243835449,UNKNOWN,0.0,0.0,5828.5569551986155,0.0006852709886950531,0.5,0.9737888987330712,0.8589182031006862,0.2,1.0,True,False
59,37.182645739114754,-76.63414406586432,0.7709353566169739,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
60,36.9884564016012,-76.48846192438535,0.7708410024642944,UNKNOWN,0.0,77.35,5930.610562055287,0.07990715459624452,0.13309838775807187,0.46525982726781917,0.4352888653679385,0.2,0.07590039932971446,True,False
61,36.08729804423902,-75.76772610472548,0.769702136516571,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
62,36.95270469119457,-76.0140063737429,0.7685896754264832,UNKNOWN,0.0,0.016666666666666666,443.72566650467,0.5744018317534519,0.10539922456186433,0.4785679495582463,0.41427952112187105,0.2,0.9994445987368581,True,False
63,35.997042099630065,-76.5836057655848,0.7661442160606384,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
64,37.22593231812351,-76.12683249888553,0.7656424641609192,232018783,0.7434576690994796,0.0,24.020161958732746,0.9704210762532016,0.5,0.5304401272033629,0.8920121315752635,0.2,1.0,False,False
65,36.99888212879609,-76.47535084032678,0.7615256309509277,UNKNOWN,0.0,77.35,7545.297215802198,0.04016060011575501,0.13309838775807187,0.4780268989099614,0.4154877808265736,0.2,0.07590039932971446,True,False
66,35.97171229685617,-76.59183433168887,0.7614392042160034,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
67,36.9046903066203,-75.7125118315612,0.7606834173202515,UNKNOWN,0.0,0.0,9925.39127907807,4.09092644517437e-06,0.1391472961731217,0.8072097242735904,0.48044205373801335,0.2,1.0,True,False
68,36.99260793173022,-76.4807906216561,0.7575783729553223,UNKNOWN,0.0,77.35,6753.413650372066,0.05627716596012334,0.13309838775807187,0.4713328382181851,0.4339443777891893,0.2,0.07590039932971446,True,False
69,37.12626914860191,-76.64359047997704,0.7524282932281494,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
70,37.22405867870161,-76.43836600106948,0.7520751357078552,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
72,37.240798820599935,-76.10417133675364,0.7472847104072571,229033000,0.7422205305268968,1.2333333333333334,29.16916427199651,0.9652473840116739,0.5,0.5587420234344316,0.8638704782577362,0.2,0.9597224881913453,False,False
73,36.78035784676158,-75.642659003045,0.7467371225357056,228337900,0.735306764591178,0.0,15.80393269972708,0.9804389338820871,0.5,0.48206728276252747,0.8671773448583752,0.2,1.0,False,False
75,37.22603301092968,-76.10032744352404,0.7417464852333069,538003015,0.7440815910593955,0.0,24.719625384977892,0.9695729795015207,0.5,0.5450441371226188,0.8724357183426348,0.2,1.0,False,False
